mcnode;description;mc_func;from_variable;transformation
visit_enter;Is the farm introducing boots, equipment or wheels that have been used on other farms?;;;"ifelse(value==""always"",1,ifelse(value==""sometimes"",0.5,ifelse(value==""never"",0,-1)))"
visit_enter_p;Percentage of times a farm introduces boots, equipment or wheels that have will be used on other farms;rpert;;
visit_cleaning;Are boots and equipment clean and disinfected when entering the farm?;;;"ifelse(value==""always"",1,ifelse(value==""sometimes"",0.5,ifelse(value==""never"",0,-1)))"
visit_cleaning_p;Percentage of times boots and equipment are clean and disinfected when entering the farm;rpert;;
visit_time_between;Time between visits (from visit to other cattle to visit to this farm);rpert;;
visit_close;Can visits be in areas used by farm animals? - Does the driver help to load the animals?;;;
visit_direct;Can visits enter in direct contact with animals?;;;
visit_frequency;Visit frequency;;;"ifelse(value==""daily"",1,ifelse(value==""weekly"",7,ifelse(value==""monthly"",30,ifelse(value==""few"",90,ifelse(value==""rare"",360,NA)))))"
risk_days;Days at risk;;;
prev_b_inf_TEST;Probability visit is contaminated (TEST);;;
visit_farms_n;Number of farms a visit (person or vehicle) visits per day;rpert;;
visit_animals_n;Number of livestock loaded in a vehicle (per farm);rpert;;
animal_category_p;Proportion of animals of each category;;;
h_control;Proportion of farms in a disease control programme;;;
w_control;Proportion of animals in a disease control porgramme;;;
neighbour_direct; Is it possible for your livestock to have direct contact with livestock on neighbouring farms? ;;;
neighbour_n; Number of cattle farms in 1-2 km radius;;;
neighbour_farms;Are there other cattle farms within a 1-2km radius?;;;
wl_prev;Prevalence of pathogen in wildlife;rpert;;
contact_rate_livestock;Rate (visits/day) at which livestock visits riskpoints;runif;;
contact_rate_wildlife;Rate (visits/day) at which wildlife visits riskpoints;runif;;
access;Do the farm animals have access to outdoors areas/pasture?;;;
fencing_perimeter;Does the farm have a complete perimeter fence?;;;
fencing_wildlife;Can terrestrial wildlife access the farm?;;;
mud_p;Proportion of mud/soil/organic contact surface;;;
contact_point_p;What percentage of the time do the cows use each type of water point? ;;;
contact_point_ratio;"Relationship between the expected number of ""contact points"" (e.g. drinking points) and the size of the herd (in LSU).";;;
livestock_units;Animal aggregation reference unit based on feed requirements (Eurostat LSU);;;
contact_point_access_wildlife;Probability that wildlife will be able to access the contact point;;;
density_index;Index aggregating the proportion of animal density levels in wildlife region (not used, just to solve bug #117);;;
pasture_other_farm_n;Number of farms the pasture is shared with;;;
pasture_own_farm_n;User farm to pasture (1);;;
pasture_other_animals_n;Number of animals per farm the pasture is shared with (purchase_cattle_n/purchase_fams_n);;;
pasture_own_animals_n;Number of animals from the farm taken to the pasture;;;
pasture_cattlebull;Do you or any of the other farms take bulls to the pasture?;;;
pasture_share;Is the pasture shared with cattle from other farms?;;;
pasture_days;Days in pasture (days at risk per pasture movement);;;
